Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Singapore,GDP Constant Prices,2008-12-31T00:00:00,72296.9,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2009-03-31T00:00:00,70443.3,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2009-06-30T00:00:00,73399.2,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2009-09-30T00:00:00,76117.2,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2009-12-31T00:00:00,77348.9,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2010-03-31T00:00:00,81708.5,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2010-06-30T00:00:00,86776.8,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2010-09-30T00:00:00,84303.8,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2010-12-31T00:00:00,87726.4,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2011-03-31T00:00:00,89326.1,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2011-06-30T00:00:00,89176,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2011-09-30T00:00:00,91271,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2011-12-31T00:00:00,91957.7,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2012-03-31T00:00:00,93742.9,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2012-06-30T00:00:00,94528.6,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2012-09-30T00:00:00,93538.4,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2012-12-31T00:00:00,95986.4,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2013-03-31T00:00:00,96887.5,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2013-06-30T00:00:00,98913.5,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2013-09-30T00:00:00,99549.1,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2013-12-31T00:00:00,100515.1,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2014-03-31T00:00:00,101180.2,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2014-06-30T00:00:00,102303.4,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2014-09-30T00:00:00,103170.1,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2014-12-31T00:00:00,104711.4,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2015-03-31T00:00:00,104223.1,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2015-06-30T00:00:00,105523.5,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2015-09-30T00:00:00,106758.7,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2015-12-31T00:00:00,106819.6,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2016-03-31T00:00:00,107455.4,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2016-06-30T00:00:00,108357.2,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2016-09-30T00:00:00,109127.1,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2016-12-31T00:00:00,111000.1,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2017-03-31T00:00:00,111342.6,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2017-06-30T00:00:00,111752.7,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2017-09-30T00:00:00,113992.1,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2017-12-31T00:00:00,114996.7,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2018-03-31T00:00:00,117485.5,Quarterly,SINGAPOREGDPCONPRI,2020-02-17T11:51:00
Singapore,GDP Constant Prices,2018-06-30T00:00:00,118098.8,Quarterly,SINGAPOREGDPCONPRI,2020-02-17T11:51:00
Singapore,GDP Constant Prices,2018-09-30T00:00:00,118328.7,Quarterly,SINGAPOREGDPCONPRI,2020-02-17T11:51:00
Singapore,GDP Constant Prices,2018-12-31T00:00:00,117949.6,Quarterly,SINGAPOREGDPCONPRI,2020-02-17T11:51:00
Singapore,GDP Constant Prices,2019-03-31T00:00:00,118627.3,Quarterly,SINGAPOREGDPCONPRI,2020-02-17T11:51:00
Singapore,GDP Constant Prices,2019-06-30T00:00:00,118397.5,Quarterly,SINGAPOREGDPCONPRI,2020-02-17T11:51:00
Singapore,GDP Constant Prices,2019-09-30T00:00:00,119051.8,Quarterly,SINGAPOREGDPCONPRI,2020-02-17T11:51:00
Singapore,GDP Constant Prices,2019-12-31T00:00:00,119230.4,Quarterly,SINGAPOREGDPCONPRI,2020-02-17T11:51:00
Singapore,GDP Constant Prices,2020-03-31T00:00:00,117792.1,Quarterly,SINGAPOREGDPCONPRI,2020-05-26T08:13:00
